,Unnamed: 0,Origin (UTC),Country,Lat,Long,Depth (km),Magnitude,PDE Shaking Deaths,PDE Total Deaths,Utsu Total Deaths,EM-DAT Total Deaths,Other Source Deaths,MaxDeaths
73,73,29-07-80 14:58,Nepal ,29.623,81.103,14.4,6.5 Mw ,188.0,188.0,100.0,100.0,,188.0
74,74,03-03-85 22:47,Chile   ,-33.132,-71.762,40,7.9 Mw ,177.0,177.0,177.0,180.0,,180.0
75,75,01-05-03 00:27,Turkey   ,38.97,40.458,14,6.3 Mw ,177.0,177.0,,177.0,,177.0
76,76,30-07-70 00:52,Iran ,37.836,55.887,10.9,6.6 Ms ,176.0,176.0,220.0,176.0,,220.0
77,77,21-03-77 21:18,Iran ,27.583,56.363,12,6.7 Mw ,167.0,167.0,167.0,167.0,,167.0
78,78,18-08-94 01:13,Algeria ,35.464,-0.084,9,5.8 Mw ,159.0,159.0,159.0,171.0,,171.0
79,79,15-04-79 06:19,Montenegro   ,41.999,19.156,15,6.9 Mw ,156.0,156.0,129.0,121.0,,156.0
80,80,23-01-81 21:13,China   ,30.956,101.168,10.9,6.5 Mw ,150.0,150.0,126.0,150.0,,150.0
81,81,27-06-98 13:55,Turkey   ,36.903,35.325,16,6.3 Mw ,145.0,145.0,145.0,,,145.0
82,82,07-09-99 11:56,Greece   ,38.119,23.598,10,6.0 Mw ,143.0,143.0,143.0,143.0,,143.0
83,83,01-10-69 05:05,Peru ,-11.835,-75.195,6.5,6.2 Ms ,136.0,136.0,136.0,150.0,,150.0
84,84,30-05-90 02:34,Peru ,-6.022,-77.197,24,6.5 Mw ,135.0,135.0,135.0,,,135.0
85,85,29-10-76 02:51,Indonesia ,-4.475,139.991,15,6.8 Mw ,133.0,133.0,6000.0,,,6000.0
86,86,26-04-90 09:37,China ,36.059,100.278,9.3,6.4 Mw ,126.0,126.0,,,,126.0
87,87,29-04-91 09:12,Georgia   ,42.426,43.667,13.4,7.0 Mw ,114.0,184.0,184.0,270.0,,270.0
88,88,17-02-96 05:59,Indonesia   ,-0.918,136.973,35.8,8.2 Mw ,108.0,166.0,166.0,166.0,,166.0
89,89,22-05-98 04:48,Bolivia ,-17.783,-65.401,24,6.6 Mw ,105.0,105.0,105.0,95.0,,105.0
90,90,26-05-83 02:59,Japan ,40.473,139.091,17,7.7 Mw ,104.0,107.0,104.0,102.0,,107.0
91,91,04-06-00 16:28,Indonesia ,-4.76,102.031,33.8,7.9 Mw ,103.0,103.0,103.0,103.0,,103.0
92,92,01-10-95 15:57,Turkey ,38.077,30.143,31,6.4 Mw ,101.0,101.0,101.0,94.0,,101.0
93,93,12-05-71 06:25,Turkey ,37.555,29.746,28.8,5.9 Ms ,100.0,100.0,57.0,,,100.0
94,94,03-09-72 16:48,Pakistan ,35.949,73.321,32.9,6.2 Ms ,100.0,100.0,100.0,,,100.0
95,95,04-02-97 10:37,Iran ,37.724,57.305,15,6.5 Mw ,100.0,100.0,100.0,100.0,,100.0
96,96,28-03-99 19:05,India   ,30.475,79.401,10.7,6.5 Mw ,100.0,100.0,100.0,100.0,,100.0
97,97,06-10-95 18:09,Indonesia ,-2.007,101.45,36.6,6.7 Mw ,84.0,84.0,84.0,84.0,,84.0
98,98,09-07-71 03:03,Chile ,-32.558,-71.085,59,7.8 Mw ,83.0,83.0,83.0,85.0,,85.0
99,99,10-12-70 04:34,Peru ,-4.079,-80.662,20.1,7.1 Mw ,81.0,81.0,81.0,29.0,,81.0
100,100,23-10-95 22:46,China ,25.947,102.22,14.7,6.2 Mw ,81.0,81.0,53.0,46.0,,81.0
101,101,09-07-97 19:24,Venezuela ,10.45,-63.532,10,6.9 Mw ,81.0,81.0,81.0,80.0,,81.0
102,102,03-10-74 14:21,Peru ,-12.254,-77.523,33.5,8.1 Mw ,78.0,78.0,78.0,,,78.0
103,103,14-11-94 19:15,Philippines ,13.543,121.059,32,7.1 Mw ,78.0,78.0,78.0,81.0,,81.0
104,104,14-12-78 07:05,Iran ,32.128,49.634,18.9,6.1 Mw ,76.0,76.0,76.0,45.0,,76.0
105,105,22-04-91 21:56,Costa Rica ,9.673,-83.072,12.9,7.6 Mw ,75.0,75.0,75.0,47.0,,75.0
106,106,23-08-85 12:41,China   ,39.447,75.264,4.3,6.9 Mw ,71.0,71.0,67.0,67.0,,71.0
107,107,23-11-77 09:26,Argentina   ,-31.082,-67.78,19.5,7.4 Mw ,70.0,70.0,70.0,,,70.0
